"gene","GO_terms"
"ZNF527",0
"CMTR1",0
"CCDC167",0
"MDGA1",9
"ZFAND3",0
"BTBD9",9
"C15orf41",0
"MEIS2",26
"TMCO5A",0
"ZNF569",0
"ZNF570",0
"ZNF793",0
"ZNF540",0
"ZNF571",0
"ZFP30",0
"GLO1",5
"DNAH8",0
"SLC32A1",6
"ACTR5",23
"PPP1R16B",23
"FAM83D",17
"DHX35",1
"KRT20",10
"KRT23",0
"KRT39",0
"KRT40",0
"KRTAP3-3",0
"KRTAP3-2",0
"KRTAP3-1",0
"KRTAP1-5",0
"KRTAP1-4",0
"KRTAP1-3",0
"KRTAP1-1",0
"KRTAP2-1",0
"KRTAP2-2",0
"KRTAP2-3",0
"KRTAP2-4",0
"KRTAP4-7",0
"KRTAP4-8",2
"KRTAP4-16P",0
"KRTAP4-9",2
"KRTAP4-11",0
"KRTAP4-12",0
"KRTAP4-6",0
"KRTAP4-5",2
"KRTAP4-4",0
"KRTAP4-3",2
"KRTAP4-2",0
"KRTAP4-1",0
"KRTAP9-1",0
"KRTAP9-2",0
"KRTAP9-3",0
"KRTAP9-8",0
"KRTAP9-4",0
"KRTAP9-9",0
"KRTAP9-6",0
"KRTAP9-7",0
"KRTAP29-1",0
"KRTAP16-1",0
"KRTAP17-1",0
"KRT33A",0
"KRT33B",2
"KRT34",1
"KRT31",1
"KRT37",0
"KRT38",0
"KRT32",1
"KRT35",0
"KRT36",7
"KRT13",0
"KRT15",2
"KRT19",9
"KRT9",2
"KRT14",6
"KRT16",15
"KRT17",18
"JUP",82
"EIF1",2
"GAST",2
"HAP1",33
"EGFLAM",4
"ZNF781",0
"CTD-2528L19.4",0
"ZNF607",0
"ZNF573",0
"WDR87",0
"SIPA1L3",14
"DPF1",16
"ZC3H12A",188
"MEAF6",17
"SNIP1",5
"DNALI1",0
"GNL2",4
"RSPO1",10
"C1orf109",0
"CDCA8",21
"EPHA10",11
"MANEAL",0
"YRDC",1
"C1orf122",0
"MTF1",10
"AL929472.1",0
"INPP5B",2
"SF3A3",1
"FHL3",4
"UTP11L",0
"POU3F1",16
"RRAGC",36
"MYCBP",2
"GJA9",2
"RHBDL2",0
"AKIRIN1",48
"NDUFS5",0
"MACF1",45
"KIAA0754",0
"BMP8A",21
"PABPC4",9
"HEYL",65
"NT5C1A",0
"HPCAL4",0
"PPIE",7
"BMP8B",5
"OXCT2",0
"TRIT1",1
"MYCL",9
"MFSD2A",47
"CAP1",5
"PPT1",15
"ANKRD30A",0
"MTRNR2L7",0
"ZNF248",2
"ZNF25",2
"ZNF33A",2
"ZNF37A",0
"LINC00999",0
"ELMO1",3
"GPR141",0
"EPDR1",2
"NME8",6
"SFRP4",35
"IDO1",54
"IDO2",1
"C8orf4",0
"ZMAT4",0
"LEPREL4",0
"FKBP10",6
"NT5C3B",3
"KLHL10",16
"KLHL11",0
"ACLY",0
"IL2RB",19
"C1QTNF6",0
"SSTR3",20
"RAC2",107
"CYTH4",4
"ELFN2",0
"MFNG",15
"CARD10",33
"CDC42EP1",23
"LGALS2",9
"GGA1",2
"SH3BP1",27
"PDXP",15
"LGALS1",41
"NOL12",0
"TRIOBP",26
"H1F0",0
"GCAT",1
"GALR3",3
"ANKRD54",16
"EIF3L",1
"MICALL1",2
"C22orf23",0
"POLR2F",3
"SOX10",73
"PICK1",41
"SLC16A8",0
"BAIAP2L2",8
"PLA2G6",36
"MAFF",16
"TMEM184B",0
"CSNK1E",31
"KCNJ4",1
"KDELR3",0
"DDX17",26
"DMC1",19
"FAM227A",0
"CBY1",18
"TOMM22",0
"JOSD1",0
"GTPBP1",7
"SUN2",12
"DNAL4",0
"CSNK1A1L",12
"DYNLT3",4
"CXorf27",0
"SYTL5",0
"SRPX",12
"RPGR",0
"OTC",15
"TSPAN7",0
"MID1IP1",8
"SPINT2",27
"PPP1R14A",0
"CTB-102L5.4",0
"C19orf33",0
"YIF1B",0
"KCNK6",2
"CATSPERG",1
"PSMD8",0
"GGN",2
"SPRED3",24
"FAM98C",0
"RASGRP4",16
"RYR1",32
"MAP4K1",15
"EIF3K",0
"ACTN4",27
"LIFR",6
"POSTN",49
"TRPC4",10
"RP11-613M10.9",0
"SHB",84
"ALDH1B1",1
"IGFBPL1",5
"ANKRD18A",0
"CAPN12",0
"LGALS7",0
"LGALS7B",0
"LGALS4",1
"ECH1",0
"AC104534.3",0
"HNRNPL",0
"RINL",2
"SIRT2",135
"NFKBIB",11
"CTC-360G5.1",0
"SARS2",1
"CTC-360G5.8",0
"MRPS12",0
"FBXO17",0
"GLP1R",15
"SAYSD1",0
"KCNK5",0
"KCNK17",0
"KCNK16",0
"KIF6",0
"DAAM2",33
"MOCS1",3
"LRFN2",2
"ACAA1",1
"MYD88",138
"OXSR1",29
"SLC22A13",15
"SLC22A14",4
"XYLB",2
"ACVR2B",72
"EXOG",0
"SCN5A",40
"SCN10A",8
"SCN11A",37
"WDR48",33
"GORASP1",5
"TTC21A",1
"CSRNP1",11
"XIRP1",5
"CX3CR1",104
"ALG10B",5
"NPTXR",1
"CBX6",5
"CPNE8",6
"MAFB",50
"AC021860.1",0
"KLF3",2
"TLR10",16
"TLR1",31
"TLR6",81
"FAM114A1",0
"TMEM156",0
"KLHL5",0
"WDR19",33
"RFC1",9
"KLB",10
"OSMR",11
"RICTOR",49
"FYB",0
"AC008964.1",0
"FBXO27",0
"PAPL",0
"PAK4",23
"NCCRP1",0
"SYCN",0
"IFNL3",10
"IFNL2",5
"IFNL1",60
"LRFN1",0
"GMFG",6
"SAMD4B",3
"PAF1",37
"MED29",4
"TTC3",0
"DSCR3",0
"DYRK1A",36
"AP001421.1",0
"KCNJ6",1
"DSCR4",0
"DSCR8",0
"KCNJ15",0
"ZFP36",82
"PLEKHG2",3
"RPS16",3
"SUPT5H",10
"AC011500.1",0
"TIMM50",5
"DLL3",12
"SELV",0
"EID2B",4
"EID2",15
"LGALS13",0
"LGALS16",9
"LGALS14",0
"CLC",29
"LEUTX",0
"DYRK1B",14
"FBL",16
"FCGBP",0
"PSMC4",5
"ZNF546",0
"ZNF780B",2
"ZNF780A",0
"AMPH",1
"FAM183B",0
"VPS41",10
"SEC23A",1
"GEMIN2",2
"TRAPPC6B",0
"PNN",2
"MIA2",0
"RP11-407N17.3",0
"CTAGE5",0
"FBXO33",3
"CNTNAP3",0
"TOP1",14
"PLCG1",73
"ZHX3",5
"LPIN3",9
"EMILIN3",0
"BCOR",18
"UNC5CL",13
"OARD1",0
"TSPO2",5
"APOBEC2",2
"NFYA",10
"TREML1",8
"TREM2",212
"TREML2",1
"TREML4",12
"TREM1",18
"NCR2",0
"FOXP4",2
"MDFI",25
"TFEB",23
"AL035588.1",0
"PGC",9
"FRS3",13
"PRICKLE4",2
"TOMM6",0
"USP49",3
"MED20",9
"BYSL",5
"CCND3",39
"TAF8",10
"C6orf132",0
"GUCA1A",12
"RP1-139D8.6",0
"GUCA1B",4
"MRPS10",0
"TRERF1",24
"UBR2",15
"PRPH2",8
"TBCC",1
"GLTSCR1L",0
"RPL7L1",2
"C6orf226",0
"PTCRA",12
"CNPY3",0
"GNMT",14
"PEX6",2
"C15orf54",0
"THBS1",168
"FSIP1",0
"GPR176",2
"RPL9",2
"LIAS",11
"UGDH",3
"SMIM14",1
"UBE2K",17
"APOBEC3A",8
"APOBEC3B",8
"APOBEC3C",8
"APOBEC3D",7
"APOBEC3F",9
"APOBEC3G",9
"APOBEC3H",9
"CBX7",1
"PDGFB",181
"AL031590.1",0
"RPL3",4
"SYNGR1",4
"TAB1",27
"MGAT3",7
"MIEF1",23
"ATF4",109
"RPS19BP1",0
"CNP",9
"DNAJC7",4
"C9",5
"DAB2",111
"PTGER4",58
"TTC33",0
"PRKAA1",129
"RPL37",2
"CARD6",0
"MAP3K10",34
"TTC9B",0
"CNTD2",0
"AKT2",112
"C19orf47",0
"PLD3",3
"HIPK4",11
"PRX",12
"SERTAD1",5
"SERTAD3",3
"BLVRB",0
"SPTBN4",25
"KIF21A",0
"ABCD2",23
"CCR8",9
"SLC25A38",5
"RPSA",3
"MOBP",7
"MYRIP",16
"EIF1B",0
"ENTPD3",0
"RPL14",2
"ZNF619",2
"ZNF620",2
"ZNF621",0
"CTNNB1",418
"ULK4",12
"PDS5A",4
"POU6F2",0
"YAE1D1",0
"FREM2",19
"STOML3",2
"PROSER1",0
"NHLRC3",0
"NKIRAS2",16
"ZNF385C",0
"DHX58",20
"KAT2A",102
"CTD-2132N18.3",0
"HSPB9",0
"RAB5C",6
"RLF",6
"TMCO2",0
"ZMPSTE24",108
"RALA",40
"CDK13",14
"MPLKIP",1
"C7orf10",0
"PIK3C3",27
"C12orf40",0
"SLC2A13",2
"RIT2",23
"SYT4",41
"SHKBP1",3
"LTBP4",19
"NUMBL",16
"SFRP1",257
"COL9A2",1
"SMAP2",1
"ZFP69B",2
"ZFP69",3
"EXO5",0
"ZNF684",2
"RIMS3",10
"NFYC",12
"KCNQ4",10
"CITED4",3
"CTPS1",8
"SLFNL1",0
"SCMH1",7
"FOXO6",2
"EDN2",50
"HIVEP3",5
"ERG",3
"ETS2",18
"PSMG1",3
"BRWD1",1
"GOLGA7",1
"GINS4",4
"AGPAT6",0
"NKX6-3",11
"ANK1",10
"KAT6A",16
"AP3M2",0
"PLAT",23
"IKBKB",68
"POLB",32
"DKK4",18
"VDAC3",1
"SLC20A2",7
"ADCK4",0
"N4BP2",0
"RHOH",38
"CHRNA9",15
"SMIM19",0
"ENTHD1",0
"GRAP2",5
"FAM83F",0
"TNRC6B",5
"ADSL",7
"SGSM3",9
"MKL1",0
"ITPKC",8
"C19orf54",0
"SNRPA",0
"MIA-RAB4B",0
"MIA",1
"RAB4B",15
"RAB4B-EGLN2",0
"EGLN2",23
"CTC-490E21.12",0
"CYP2A6",1
"CYP2A7",1
"CYP2B6",2
"RBM47",18
"NSUN7",0
"APBB2",10
"INHBA",169
"C7",5
"MROH2B",0
"C6",6
"PLCXD3",0
"OXCT1",1
"CHRNB3",6
"CHRNA6",9
"THAP1",5
"RNF170",0
"HOOK3",10
"RP11-598P20.5",0
"FNTA",8
"POMK",4
"HGSNAT",0
"LRRK2",163
"MUC19",0
"CNTN1",19
"HMGN1",20
"WRB",0
"LCA5L",0
"SH3BGR",0
"B3GALT5",2
"C21orf88",0
"CYP2A13",1
"CYP2F1",1
"CYP2S1",3
"PDZRN4",0
"PTPRT",27
"SRSF6",31
"L3MBTL1",17
"SGK2",9
"IFT52",34
"MYBL2",9
"GTSF1L",0
"TOX2",4
"JPH2",10
"OSER1",8
"GDAP1L1",0
"FITM2",2
"R3HDML",0
"HNF4A",38
"C20orf62",0
"TTPAL",0
"SERINC3",9
"PKIG",27
"Z97053.1",0
"ADA",131
"WISP2",0
"KCNK15",0
"RIMS4",10
"YWHAB",12
"PABPC1L",0
"TOMM34",0
"STK4",84
"KCNS1",1
"WFDC5",0
"WFDC12",0
"PI3",0
"SEMG1",17
"SEMG2",15
"SLPI",10
"MATN4",0
"RBPJL",4
"SDC4",74
"SYS1",0
"SYS1-DBNDD2",0
"TP53TG5",3
"DBNDD2",11
"PIGT",1
"AL031663.2",0
"AL031663.1",0
"WFDC2",0
"SPINT3",0
"WFDC6",0
"EPPIN-WFDC6",0
"EPPIN",7
"WFDC8",0
"WFDC9",0
"WFDC10A",0
"WFDC11",0
"WFDC10B",0
"WFDC13",0
"SPINT4",0
"LRRC4C",8
"USP9X",35
"DDX3X",114
"NYX",0
"FOXO1",117
"MRPS31",0
"SLC25A15",0
"ELF1",11
"WBP4",1
"KBTBD6",4
"KBTBD7",4
"MTRF1",0
"NAA16",3
"RGCC",112
"VWA8",0
"DGKH",8
"GXYLT1",0
"YAF2",3
"AC020629.1",0
"PPHLN1",14
"ZCRB1",0
"PRICKLE1",104
"C2orf91",0
"PKDCC",28
"EML4",4
"COX7A2L",1
"KCNG3",1
"MTA3",35
"OXER1",0
"HAAO",3
"LRFN5",12
"LIMCH1",16
"PHOX2B",63
"TMEM33",4
"DCAF4L1",0
"SLC30A9",8
"BEND4",0
"SHISA3",7
"ATP8A1",7
"GRXCR1",7
"INO80",45
"EXD1",3
"CHP1",58
"OIP5",4
"NUSAP1",11
"NBR1",15
"TMEM106A",16
"ARL4D",4
"DHX8",0
"ETV4",10
"MEOX1",13
"SOST",23
"DUSP3",69
"C17orf105",0
"MPP3",1
"CD300LG",0
"MPP2",5
"FAM215A",0
"RP11-527L4.2",0
"PPY",0
"PYY",4
"NAGS",0
"TMEM101",3
"LSM12",0
"G6PC3",5
"HDAC5",60
"C17orf53",0
"ASB16",0
"TMUB2",0
"ATXN7L3",8
"UBTF",3
"SLC4A1",25
"AC003102.1",0
"AC003043.1",0
"RUNDC3A",2
"SLC25A39",0
"GRN",75
"FAM171A2",0
"ITGA2B",17
"GPATCH8",0
"FZD2",41
"C17orf104",0
"CCDC43",0
"DBF4B",29
"ADAM11",0
"GJC1",13
"HIGD1B",0
"EFTUD2",7
"CCDC103",18
"FAM187A",0
"GFAP",28
"GUCA2B",2
"GUCA2A",1
"FOXJ3",2
"RIMKLA",0
"ZMYND12",0
"PPCS",2
"CCDC30",0
"PPIH",7
"YBX1",14
"CLDN19",13
"LEPRE1",0
"C1orf50",0
"CCDC23",0
"ERMAP",8
"ZNF691",0
"SLC2A1",40
"GLI3",204
"PPP2R5D",6
"MEA1",8
"KLHDC3",4
"RRP36",1
"CUL7",22
"KLC4",0
"MRPL2",0
"PTK7",61
"SRF",199
"CUL9",6
"DNPH1",5
"TTBK1",53
"SLC22A7",1
"CRIP3",0
"ZNF318",0
"ABCC10",0
"DLK2",4
"TJAP1",1
"LRRC73",0
"POLR1C",1
"YIPF3",0
"XPO5",9
"POLH",13
"GTPBP2",4
"MAD2L1BP",24
"RSPH9",0
"MRPS18A",0
"VEGFA",305
"C6orf223",0
"MRPL14",0
"TMEM63B",0
"CAPN11",0
"SLC29A1",17
"HSP90AB1",79
"SLC35B2",3
"NFKBIE",1
"TMEM151B",0
"RP11-444E17.6",0
"TCTE1",0
"C7orf25",0
"PSMA2",0
"MRPL32",0
"SETBP1",13
"SLC14A2",0
"SLC14A1",0
"SIGLEC15",15
"FAM183A",0
"EBNA1BP2",1
"WDR65",0
"GHR",68
"CCDC152",0
"SEPP1",0
"HECW1",9
"TMEM125",0
"C1orf210",0
"WFDC3",0
"DNTTIP1",3
"TCF20",0
"NFAM1",25
"RRP7A",3
"SERHL2",0
"POLDIP3",4
"CYB5R3",2
"ATP5L2",0
"A4GALT",0
"ZNF33B",2
"BMS1",5
"EPG5",15
"PSTPIP2",0
"ATP5A1",0
"AARS2",1
"SPATS1",0
"CDC5L",9
"AL133262.1",0
"PAFAH1B3",1
"PRR19",0
"TMEM145",0
"MEGF8",70
"CNFN",3
"LIPE",6
"CXCL17",36
"CEACAM1",149
"CEACAM8",1
"PSG3",3
"PSG8",1
"PSG1",3
"PSG6",3
"PSG11",2
"PSG2",2
"PSG5",2
"PSG4",3
"PSG9",30
"TEX101",4
"LYPD3",7
"PHLDB3",0
"ETHE1",0
"ZNF575",0
"XRCC1",24
"L34079.2",0
"PINLYP",0
"IRGQ",3
"ZNF576",0
"SRRM5",0
"ZNF428",0
"CADM4",27
"PLAUR",46
"TIE1",40
"MPL",37
"ANXA2R",0
"ZNF131",4
"NIM1",0
"HMGCS1",0
"CCL28",25
"C5orf28",0
"C5orf34",0
"PAIP1",7
"NNT",19
"FGF10",260
"MRPS30",0
"HCN1",15
"SNAP23",23
"LRRC57",0
"HAUS2",2
"STARD9",0
"CDAN1",3
"TTBK2",12
"UBR1",7
"EPB42",13
"TMEM62",0
"CCNDBP1",0
"TGM5",1
"TGM7",0
"LCMT2",1
"ADAL",0
"ZSCAN29",0
"TUBGCP4",0
"TP53BP1",60
"API5",5
"TTC17",0
"ADAMTS20",2
"PUS7L",0
"IRAK4",48
"TWF1",26
"TMEM117",3
"FMNL1",1
"SPATA32",0
"ARHGAP27",4
"PLEKHM1",14
"MAOA",0
"MAOB",18
"NDP",50
"EFHC2",1
"FUNDC1",5
"DUSP21",0
"KDM6A",8
"CXorf36",0
"CRHR1",23
"SPPL2C",3
"MAPT",103
"STH",0
"KANSL1",9
"ARL17B",4
"LRRC37A",0
"LRRC37A2",0
"ARL17A",0
"NSF",7
"WNT3",76
"WNT9B",92
"GOSR2",2
"RP11-156P1.2",0
"HAUS1",2
"C18orf25",0
"RNF165",0
"LOXHD1",0
"ST8SIA5",1
"PIAS2",21
"KATNAL2",0
"TCEB3CL2",0
"TCEB3CL",0
"TCEB3C",0
"TCEB3B",0
"STK17A",10
"COA1",0
"BLVRA",0
"UBE2C",23
"TNNC2",2
"SNX21",0
"ACOT8",2
"ZSWIM3",0
"ZSWIM1",0
"SPATA25",0
"NEURL2",0
"CTSA",10
"PLTP",1
"PCIF1",5
"ZNF335",30
"MMP9",94
"SLC12A5",8
"NCOA5",15
"CD40",152
"CDH22",10
"SLC35C2",3
"ELMO2",6
"SUPT3H",14
"RUNX2",69
"ENOX1",2
"HDHD2",0
"IER3IP1",11
"SKOR2",31
"KRBOX4",0
"ZNF674",2
"CHST7",2
"SLC9A7",0
"RP2",4
"CXorf31",0
"PHF16",0
"RGN",51
"NDUFB11",0
"RBM10",17
"NELL2",0
"HSD17B12",7
"ALKBH3",2
"C11orf96",0
"ACCSL",0
"ACCS",0
"EXT2",25
"ALX4",37
"CD82",0
"CNTNAP3B",0
"URGCP-MRPS24",0
"MRPS24",0
"URGCP",3
"UBE2D4",2
"SPDYE1",0
"DBNL",8
"PGAM2",11
"POLM",2
"AEBP1",2
"POLD2",3
"DBX2",0
"ANO6",43
"ARID2",66
"SCAF11",0
"SLC38A1",8
"SLC38A2",26
"MYL7",6
"GCK",59
"YKT6",3
"CAMK2B",26
"NUDCD3",0
"NPC1L1",0
"DDX56",8
"TMED4",3
"OGDH",15
"ZMIZ2",5
"IRGC",4
"SMG9",6
"KCNN4",26
"LYPD5",0
"ZNF283",0
"ZNF404",2
"ZNF45",0
"ZNF221",0
"ZNF155",0
"ZNF230",0
"ZNF222",0
"ZNF223",0
"ZNF284",0
"ZNF224",6
"ZNF225",2
"ZNF234",0
"ZNF226",2
"ZNF227",2
"ZNF235",0
"ZNF233",0
"ZNF112",2
"CTC-512J12.6",0
"ZNF285",0
"ZNF229",2
"ZNF180",2
"IGSF23",3
"PVR",20
"CEACAM19",0
"CEACAM16",0
"BCL3",91
"CBLC",31
"BCAM",3
"PVRL2",0
"TOMM40",0
"APOE",140
"APOC1",18
"APOC4-APOC2",0
"APOC4",0
"APOC2",24
"CTB-129P6.11",0
"CLPTM1",13
"RELB",35
"PPIA",78
"H2AFV",0
"PURB",8
"MYO1G",18
"CCM2",24
"NACAD",0
"TBRG4",1
"RAMP3",29
"KCTD8",1
"YIPF7",0
"GUF1",4
"GNPDA2",1
"CLASRP",0
"ZNF296",1
"GEMIN7",0
"MARK4",29
"PPP1R37",0
"CXCL12",106
"AL137026.1",0
"TMEM72",0
"RASSF4",0
"C10orf10",0
"C10orf25",0
"ZNF22",1
"OR13A1",0
"ALOX5",56
"MARCH8",0
"NKPD1",0
"TRAPPC6A",0
"BLOC1S3",21
"AC005779.2",0
"AC006126.3",0
"EXOC3L2",0
"CKM",0
"KLC3",1
"L47234.1",0
"ERCC2",71
"PPP1R13L",25
"CD3EAP",0
"ERCC1",70
"FOSB",22
"RTN2",8
"PPM1N",10
"VASP",25
"OPA3",1
"GPR4",31
"EML2",2
"AC006132.1",0
"GIPR",30
"SNRPD2",1
"QPCTL",0
"FBXO46",0
"AC074212.3",0
"SIX5",12
"DMPK",19
"AC011530.4",0
"DMWD",0
"RSPH6A",1
"SYMPK",4
"FOXA3",11
"ZNF334",0
"OCSTAMP",21
"SLC13A3",1
"TP53RK",7
"SLC2A10",27
"RPRML",0
"CDC27",8
"MYL4",3
"ITGB3",156
"EFCAB13",0
"NPEPPS",14
"CLIC5",2
"ENPP4",8
"ENPP5",0
"RCAN2",2
"CYP39A1",0
"TSPAN18",8
"TP53I11",0
"PRDM11",8
"SYT13",13
"CHST1",4
"CTD-2210P24.4",0
"SLC35C1",3
"CRY2",53
"MAPK8IP1",54
"C11orf94",0
"PEX16",0
"GYLTL1B",0
"PHF21A",2
"CREB3L1",37
"DGKZ",28
"MDK",205
"CHRM4",3
"AMBRA1",81
"HARBI1",0
"ATG13",24
"ARHGAP1",8
"ZNF408",0
"F2",78
"CKAP5",9
"SLC25A27",16
"TDRD6",18
"PLA2G7",22
"ANKRD66",0
"MEP1A",2
"GPR116",0
"GPR110",0
"TNFRSF21",61
"CD2AP",20
"EYA2",30
"ZMYND8",23
"AL031666.2",0
"NCOA3",37
"SULF2",36
"SMAD2",99
"ZBTB7C",3
"AC091150.1",0
"PRR5",12
"PRR5-ARHGAP8",0
"ARHGAP8",9
"PHF21B",0
"NUP50",5
"KIAA0930",0
"UPK3A",2
"FAM118A",0
"SMC1B",1
"ZFAND4",0
"FAM21C",0
"ADCY1",29
"AC096582.1",0
"IGFBP1",25
"IGFBP3",36
"CTIF",0
"SMAD7",163
"SHF",3
"SLC28A2",4
"GATM",9
"SPATA5L1",0
"C15orf48",0
"SLC30A4",2
"BLOC1S6",18
"RP11-96O20.4",0
"SQRDL",0
"DYM",2
"RIBC2",0
"FBLN1",25
"ATXN10",0
"WNT7B",73
"C22orf26",0
"FLJ27365",0
"PPARA",163
"CDPF1",0
"PKDREJ",2
"TTC38",0
"GTSE1",22
"TRMU",1
"CELSR1",29
"GRAMD4",24
"CERK",1
"IRF2BP1",2
"MYPOP",2
"NANOS2",12
"NOVA2",14
"CCDC61",2
"PGLYRP1",32
"IGFL4",0
"IGFL3",0
"IGFL2",0
"IGFL1",0
"LIMD1",24
"SACM1L",0
"SLC6A20",1
"LZTFL1",1
"CCR9",13
"FYCO1",8
"CXCR6",11
"XCR1",9
"CCR3",21
"CCR1",51
"CCR2",145
"CCR5",30
"CCRL2",9
"LTF",94
"RTP3",0
"LRRC2",0
"LUZPP1",0
"TDGF1",0
"TBKBP1",6
"TBX21",103
"OSBPL7",12
"MRPL10",0
"LRRC46",0
"SCRN2",0
"SP6",5
"SP2",3
"PNPO",0
"PRR15L",0
"CDK5RAP3",59
"COPZ2",0
"NFE2L1",0
"CBX1",5
"SNX11",0
"SKAP1",36
"HOXB1",15
"HOXB2",17
"HOXB3",25
"HOXB4",25
"HOXB5",14
"HOXB6",13
"HOXB7",45
"HOXB8",16
"HOXB9",18
"PRAC1",0
"HOXB13",30
"TTLL6",0
"CALCOCO2",10
"ATP5G1",0
"UBE2Z",3
"SNF8",15
"GIP",52
"IGF2BP1",14
"B4GALNT2",5
"GNGT2",10
"ABI3",15
"PHOSPHO1",11
"ZNF652",0
"RP11-81K2.1",0
"PHB",0
"NGFR",88
"NXPH3",0
"SPOP",4
"SLC35B1",0
"FAM117A",0
"KAT7",37
"TAC4",5
"DLX4",2
"DLX3",27
"ITGA3",77
"PDK2",44
"SAMD14",2
"PPP1R9B",51
"SGCA",12
"COL1A1",86
"TMEM92",0
"XYLT2",0
"MRPL27",0
"EME1",12
"LRRC59",1
"ACSF2",0
"CHAD",3
"RSAD1",0
"MYCBPAP",0
"EPN3",2
"SPATA20",1
"CACNA1G",12
"ABCC3",2
"TRPM2",33
"LRRC3",0
"LRRC3DN",0
"TSPEAR",8
"C21orf90",0
"KRTAP10-1",0
"KRTAP10-2",0
"KRTAP10-3",0
"KRTAP10-4",0
"KRTAP10-5",0
"KRTAP10-6",0
"KRTAP10-7",0
"KRTAP10-8",0
"KRTAP10-9",0
"KRTAP10-10",0
"KRTAP10-11",0
"KRTAP12-4",0
"KRTAP12-3",0
"KRTAP12-2",0
"KRTAP12-1",0
"KRTAP10-12",0
"UBE2G2",3
"PREX1",33
"ARFGEF2",10
"CSE1L",8
"STAU1",17
"GABRG1",2
"TBC1D22A",3
"SLC38A4",0
"AC011294.3",0
"FAM25E",0
"AGAP4",3
"PTPN20A",0
"SYT15",13
"GPRIN2",0
"NPY4R",0
"ANXA8L1",6
"FAM25B",0
"AGAP10",0
"ANTXRL",0
"TNS3",2
"C7orf65",0
"HIF3A",6
"PPP5C",7
"CCDC8",4
"PNMAL1",0
"PPP5D1",0
"PNMAL2",0
"AC011484.1",0
"AC011551.3",0
"ANKRD40",0
"AMIGO2",5
"PCED1B",0
"CALM3",38
"PTGIR",7
"GNG8",10
"DACT3",14
"PRKD2",93
"STRN4",3
"FKRP",3
"SLC1A5",9
"AP2S1",7
"LUC7L3",1
"WFIKKN2",14
"TOB1",22
"SPIDR",19
"FKSG62",0
"SEMA6D",42
"SLC24A5",2
"MYEF2",3
"CTXN2",0
"SLC12A1",2
"DUT",5
"FBN1",54
"DDX27",1
"ZNFX1",20
"KCNB1",62
"PTGIS",31
"B4GALT5",15
"SLC9A8",1
"SPATA2",17
"RNF114",0
"SNAI1",77
"TMEM189-UBE2V1",0
"UBE2V1",11
"TMEM189",0
"SPAG9",29
"NME1",15
"NME1-NME2",0
"NME2",18
"MBTD1",11
"UTP18",1
"GPR111",0
"GPR115",0
"OPN5",16
"PTCHD4",0
"RPAP3",1
"ENDOU",3
"RAPGEF3",44
"SLC48A1",0
"HDAC7",45
"AC004466.1",0
"VDR",70
"TMEM106C",0
"COL2A1",45
"RP1-228P16.5",0
"ZNF81",0
"ZNF182",0
"ZNF630",0
"SPACA5",0
"SPACA5B",0
"SSX5",0
"SSX1",2
"SSX3",0
"SSX4",0
"SSX4B",0
"SLC38A5",1
"FTSJ1",1
"PORCN",7
"EBP",6
"TBC1D25",6
"AC115618.1",0
"RBM3",0
"WDR13",6
"MDGA2",0
"RPS29",3
"AL139099.1",0
"LRR1",0
"RPL36AL",0
"MGAT2",3
"DNAAF2",7
"POLE2",3
"KLHDC1",2
"KLHDC2",2
"NEMF",3
"AL627171.2",0
"AL627171.1",0
"ARF6",59
"C14orf182",0
"C14orf183",0
"VCPKMT",9
"SOS2",42
"L2HGDH",0
"ATP5S",0
"CDKL1",7
"HUS1",27
"SUN3",2
"C7orf57",0
"UPP1",7
"ABCA13",4
"SENP1",14
"PFKM",29
"ASB8",0
"C12orf68",0
"DKFZP779L1853",0
"OR10AD1",0
"H1FNT",0
"ZNF641",2
"AC024257.1",0
"ANP32D",0
"C12orf54",0
"OR8S1",0
"AGAP9",3
"FAM25G",0
"ANXA8",12
"AL591684.1",0
"ZNF488",18
"RBP3",0
"GDF2",63
"GDF10",19
"PTPN20B",0
"FAM25C",0
"FRMPD2",3
"MAPK8",89
"ARHGAP22",9
"ABCC11",0
"LONP2",7
"SIAH1",15
"N4BP1",24
"TEC",23
"SLAIN2",6
"SLC10A4",0
"ZAR1",14
"FRYL",0
"OCIAD1",9
"OCIAD2",7
"CWH43",0
"CEP152",0
"SHC4",4
"EID1",2
"SECISBP2L",0
"COPS2",10
"GALK2",3
"FAM227B",0
"FGF7",70
"DTWD1",1
"ATP8B4",0
"SLC27A2",0
"HDC",0
"GABPB1",0
"USP8",34
"USP50",30
"TRPM7",6
"SPPL2A",5
"CA10",0
"AC102948.2",0
"C17orf112",0
"KIF2B",1
"CEBPB",113
"PTPN1",82
"FAM65C",0
"PARD6B",11
"BCAS4",0
"CEBPD",14
"PRKDC",130
"MCM4",4
"UBE2V2",6
"EFCAB1",0
"SNAI2",131
"WAS",41
"SUV39H1",35
"GLOD5",0
"GATA1",141
"HDAC6",117
"ERAS",8
"PCSK1N",5
"TIMM17B",0
"PQBP1",15
"SLC35A2",4
"PIM2",21
"OTUD5",20
"KCND1",1
"GRIPAP1",8
"TFE3",21
"CCDC120",0
"PRAF2",0
"WDR45",17
"AF196779.12",0
"GPKOW",0
"MAGIX",0
"PLP2",3
"PRICKLE3",0
"SYP",12
"AC004899.1",0
"VWC2",17
