"n_interactions","queryItem"
0,"STEAP2"
0,"ATP8B1"
4,"GATA6"
0,"MIB1"
0,"ALDH3B1"
4,"NDUFS8"
0,"TCIRG1"
1,"UNC93B1"
8,"ELL"
0,"CLVS2"
1,"EPM2A"
0,"FBXO30"
5,"GRM1"
3,"LTV1"
0,"PHACTR2"
1,"PLAGL1"
0,"SASH1"
4,"SF3B5"
1,"SHPRH"
0,"STX11"
0,"UST"
0,"ZC2HC1B"
2,"CEP192"
0,"CEP76"
0,"FAM210A"
0,"LDLRAD4"
0,"MC5R"
1,"PSMG2"
11,"PTPN2"
1,"RNMT"
4,"SEH1L"
2,"NPY"
0,"ABRACL"
0,"CCDC28A"
7,"CITED2"
2,"EYA4"
0,"HEBP2"
0,"HECA"
0,"HINT3"
1,"NCOA7"
0,"NKAIN2"
0,"PBOV1"
0,"REPS1"
2,"RPS12"
0,"SLC18B1"
0,"STX7"
0,"TAAR1"
0,"TAAR2"
0,"TAAR5"
0,"TAAR6"
0,"TAAR8"
0,"TRDN"
0,"TRMT11"
0,"TXLNB"
0,"VNN1"
0,"VNN2"
0,"VNN3"
0,"ASB4"
0,"BET1"
0,"CASD1"
2,"COL1A2"
0,"PEG10"
0,"PON1"
0,"PON2"
0,"PON3"
1,"PPP1R9A"
0,"SGCE"
1,"TAC1"
1,"TAF1L"
0,"TMEM215"
0,"ZNF503"
4,"DCAF5"
1,"GPHN"
1,"RAD51B"
1,"RDH12"
0,"ZFYVE26"
1,"ADAMTS3"
0,"AFM"
4,"AFP"
17,"ALB"
0,"ANKRD17"
0,"ANXA3"
0,"ART3"
0,"BMP2K"
5,"BTC"
0,"CCDC158"
1,"CCNG2"
0,"CCNI"
0,"CDKL2"
2,"CNOT6L"
0,"COX18"
4,"CXCL1"
8,"CXCL10"
4,"CXCL11"
6,"CXCL13"
4,"CXCL2"
3,"CXCL3"
2,"CXCL5"
2,"CXCL6"
9,"CXCL9"
2,"EPGN"
18,"EREG"
0,"FAM13A"
0,"FAM47E"
0,"FAM47E-STBD1"
0,"FRAS1"
3,"G3BP2"
0,"GC"
0,"GPRIN3"
0,"GRID2"
0,"HERC3"
1,"MRPL1"
1,"MTHFD2L"
0,"NAAA"
0,"NAP1L5"
0,"NPFFR2"
4,"NUP54"
1,"PAQR3"
0,"PARM1"
3,"PF4"
1,"PF4V1"
2,"PPBP"
0,"PPEF2"
0,"RASSF6"
3,"RCHY1"
6,"SCARB2"
0,"SDAD1"
0,"SOWAHB"
0,"THAP6"
0,"TIGD2"
0,"USO1"
2,"ARMC7"
0,"ANKRD20A1"
0,"CBWD3"
0,"CBWD5"
0,"FOXD4L3"
0,"FOXD4L4"
0,"FOXD4L5"
0,"FOXD4L6"
0,"PGM5"
9,"PIP5K1B"
0,"SPATA31A7"
0,"TMEM252"
1,"CCNY"
4,"CREM"
7,"CUL2"
4,"FZD8"
0,"GJD4"
15,"NRP1"
0,"BFAR"
0,"CPPED1"
3,"ERCC4"
1,"GSPT1"
0,"LITAF"
0,"NOMO1"
0,"NPIPA1"
0,"NPIPA2"
1,"PARN"
1,"PLA2G10"
1,"RSL1D1"
0,"SHISA9"
0,"SNN"
4,"TNFRSF17"
0,"TXNDC11"
0,"ZC3H7A"
8,"CBX4"
1,"RBFOX3"
1,"CABLES1"
0,"TMEM241"
0,"PEX26"
1,"TUBA8"
1,"POLB"
0,"FBXO33"
0,"GEMIN2"
1,"PNN"
0,"SEC23A"
0,"TRAPPC6B"
0,"GIN1"
0,"PAM"
0,"PPIP5K2"
5,"CTNNA3"
0,"LRRTM3"
0,"PHKB"
0,"ARHGAP18"
0,"COL21A1"
0,"DST"
2,"GCLC"
2,"IL22RA2"
0,"L3MBTL3"
0,"MAP7"
0,"SAMD3"
0,"SMLR1"
0,"TMEM244"
4,"ADCY1"
4,"IGFBP1"
7,"IGFBP3"
1,"UPP1"
0,"VWC2"
0,"ZPBP"
1,"HYDIN"
1,"AP1B1"
0,"ASCC2"
0,"BPIFC"
0,"C22orf31"
0,"C22orf42"
0,"CABP7"
0,"CCDC117"
0,"CCDC157"
8,"CHEK2"
4,"DEPDC5"
0,"DRG1"
0,"DUSP18"
2,"EIF4ENIF1"
0,"EMID1"
18,"EWSR1"
2,"FBXO7"
0,"GAL3ST1"
0,"GAS2L1"
0,"HORMAD2"
1,"HSCB"
1,"INPP5J"
2,"KREMEN1"
17,"LIF"
3,"LIMK2"
0,"MORC2"
0,"MTFP1"
1,"MTMR3"
1,"NEFH"
8,"NF2"
1,"NIPSNAP1"
0,"OSBP2"
18,"OSM"
2,"PATZ1"
1,"PES1"
0,"PIK3IP1"
0,"PISD"
2,"PLA2G3"
3,"RASL10A"
0,"RFPL1"
0,"RFPL2"
0,"RFPL3"
0,"RHBDD3"
0,"RNF185"
0,"RNF215"
1,"RTCB"
0,"SEC14L3"
0,"SEC14L4"
4,"SF3A1"
0,"SFI1"
0,"SLC35E4"
1,"SLC5A1"
0,"SLC5A4"
0,"SMTN"
1,"TBC1D10A"
1,"TCN2"
6,"THOC5"
1,"TIMP3"
0,"TTC28"
1,"UQCR10"
10,"XBP1"
10,"YWHAH"
2,"ZMAT5"
3,"ZNRF3"
0,"B3GNT3"
1,"COLGALT1"
0,"FCHO1"
6,"FKBP8"
2,"GDF15"
0,"IFI30"
7,"IL12RB1"
1,"INSL3"
0,"ISYNA1"
31,"JAK3"
8,"JUND"
0,"KCNN1"
0,"LRRC25"
3,"LSM4"
0,"MAST3"
0,"MPV17L2"
0,"PDE4C"
0,"PGPEP1"
69,"PIK3R2"
0,"RAB3A"
3,"RPL18A"
3,"SLC5A5"
0,"SSBP4"
8,"SOX4"
1,"CHRNA6"
0,"CHRNB3"
0,"RNF170"
0,"SLC20A2"
0,"SMIM19"
0,"THAP1"
0,"HDGFL1"
0,"ABCC11"
0,"ABCC12"
0,"LONP2"
2,"SIAH1"
2,"CALCA"
2,"CALCB"
0,"CYP2R1"
0,"INSC"
0,"CADM2"
3,"ID4"
14,"PRL"
0,"NAALADL2"
0,"IL18BP"
5,"NUMA1"
0,"RNF121"
0,"C19orf33"
1,"CATSPERG"
1,"DPF1"
0,"FAM98C"
0,"GGN"
0,"KCNK6"
1,"PPP1R14A"
1,"PSMD8"
5,"RASGRP4"
0,"SIPA1L3"
1,"SPINT2"
0,"SPRED3"
0,"WDR87"
0,"YIF1B"
0,"ZFP30"
0,"ZNF540"
0,"ZNF570"
0,"ZNF571"
0,"ZNF573"
0,"ZNF607"
0,"ZNF781"
0,"ZNF793"
0,"KCNV1"
0,"KIF16B"
0,"OTOR"
3,"SNRPB2"
0,"DDC"
0,"FIGNL1"
18,"IKZF1"
8,"CCNE2"
0,"DPY19L4"
1,"EBAG9"
5,"ENY2"
2,"ESRP1"
0,"FSBP"
2,"GDF6"
0,"GEM"
0,"INTS8"
1,"NDUFAF6"
0,"NUDCD1"
0,"PKHD1L1"
0,"PLEKHF2"
0,"PTDSS1"
1,"RAD54B"
1,"SDC2"
0,"SYBU"
1,"TP53INP1"
4,"TRHR"
1,"UQCRB"
3,"ZFPM2"
0,"AP4S1"
0,"COCH"
5,"FOXG1"
0,"G2E3"
4,"PRKD1"
0,"SCFD1"
1,"STRN3"
0,"STXBP6"
0,"SUSD4"
9,"MAP3K8"
0,"AANAT"
2,"ACOX1"
0,"BTBD17"
2,"CALCOCO2"
2,"CARD14"
0,"CASKIN2"
7,"CBX2"
8,"CBX8"
0,"CCDC40"
0,"CD300A"
1,"CD300C"
0,"CD300E"
0,"CD300LB"
0,"CD300LD"
0,"CD300LF"
5,"CDK3"
0,"CDR2L"
0,"CYGB"
0,"DNAI2"
12,"EIF4A3"
0,"ENDOV"
0,"ENPP7"
1,"EVPL"
2,"EXOC7"
0,"FADS6"
0,"FAM117A"
0,"FBF1"
1,"FDXR"
0,"FOXJ1"
1,"GAA"
0,"GALK1"
2,"GALR2"
0,"GGA3"
3,"GIP"
0,"GPR142"
0,"GPRC5C"
91,"GRB2"
1,"GRIN2C"
0,"HID1"
5,"HOXB1"
1,"HOXB13"
1,"HOXB2"
2,"HOXB3"
1,"HOXB4"
1,"HOXB5"
0,"HOXB6"
1,"HOXB7"
1,"HOXB8"
0,"HOXB9"
5,"ITGB4"
4,"KAT7"
0,"KCTD2"
1,"LLGL2"
0,"LRRC46"
0,"MIF4GD"
0,"MRPL10"
0,"MRPL38"
1,"MRPS7"
1,"NAT9"
2,"NT5C"
3,"NUP85"
0,"OSBPL7"
0,"OTOP2"
0,"OTOP3"
0,"PPM1E"
0,"PRAC1"
0,"PRCD"
0,"PRPSAP1"
0,"PRR11"
0,"QRICH2"
0,"RAB37"
2,"RECQL5"
0,"RHBDF2"
0,"RNF157"
0,"RNF213"
2,"RPL38"
0,"SAP30BP"
0,"SCRN2"
0,"SGSH"
0,"SKA2"
5,"SKAP1"
0,"SLC16A5"
0,"SLC25A19"
0,"SLC26A11"
0,"SLC35B1"
5,"SLC9A3R1"
0,"SMIM5"
0,"SMIM6"
1,"SNF8"
0,"SP6"
2,"SPHK1"
1,"SRP68"
0,"ST6GALNAC2"
7,"SUMO2"
0,"TAC4"
0,"TBC1D16"
1,"TBKBP1"
0,"TBX2"
17,"TBX21"
2,"TBX4"
0,"TEN1"
0,"TMEM104"
0,"TRIM37"
0,"TRIM47"
0,"TRIM65"
0,"TSEN54"
0,"TTLL6"
0,"TTYH2"
0,"UBALD2"
0,"UBE2O"
0,"UBE2Z"
0,"UNC13D"
0,"UNK"
0,"USH1G"
4,"WBP2"
0,"ZACN"
3,"CYSLTR1"
11,"PLEK"
5,"ADCY2"
0,"ANKH"
0,"C5orf38"
0,"C5orf49"
3,"CCT5"
3,"CDH12"
3,"CDH18"
1,"CMBL"
7,"CTNND2"
0,"DAP"
0,"DNAH5"
0,"FASTKD3"
0,"FBXL7"
0,"IRX2"
0,"IRX4"
0,"MTRR"
0,"ROPN1L"
0,"SEMA5A"
0,"TAS2R1"
3,"TRIO"
0,"C5orf34"
0,"EMB"
0,"IRX1"
0,"MRPS30"
4,"PAIP1"
0,"PARP8"
2,"BAIAP2L1"
0,"BHLHA15"
0,"BRI3"
0,"KPNA7"
0,"LMTK2"
0,"NPTX2"
7,"SMURF1"
0,"TECPR1"
0,"TMEM130"
14,"TRRAP"
5,"ADIPOQ"
0,"CCDC39"
0,"CRYGS"
2,"DNAJB11"
0,"DNAJC19"
2,"EIF4A2"
2,"EPHA3"
8,"FXR1"
2,"KNG1"
4,"RFC4"
0,"ST6GAL1"
0,"TBCCD1"
0,"TPRG1"
0,"CHIC2"
0,"GSX2"
0,"LNX1"
1,"NMU"
0,"ALKBH6"
0,"APLP1"
0,"ARHGAP33"
0,"CAPNS1"
0,"CLIP3"
0,"COX7A1"
8,"HCST"
1,"HSPB6"
0,"IGFLR1"
0,"KIRREL2"
2,"LIN37"
0,"LRFN3"
2,"NFKBID"
4,"NPHS1"
6,"POLR2I"
0,"PRODH2"
3,"PSENEN"
0,"SDHAF1"
0,"SYNE4"
0,"TBCB"
0,"THAP8"
9,"TYROBP"
1,"U2AF1L4"
1,"WDR62"
0,"ZFP14"
0,"ZFP82"
0,"ZNF146"
0,"ZNF260"
0,"ZNF345"
0,"ZNF382"
0,"ZNF383"
1,"ZNF420"
0,"ZNF461"
0,"ZNF529"
0,"ZNF565"
0,"ZNF566"
0,"ZNF567"
0,"ZNF568"
0,"ZNF585A"
0,"ZNF585B"
0,"ZNF790"
0,"ZNF829"
0,"ZNF850"
0,"MACROD2"
0,"ABAT"
0,"ABCC1"
0,"ABCC6"
1,"ATF7IP2"
0,"C16orf72"
0,"CARHSP1"
4,"CIITA"
0,"CLEC16A"
0,"DEXI"
0,"EMP2"
6,"GRIN2A"
0,"MPV17L"
3,"MYH11"
0,"NDE1"
0,"NOMO3"
0,"NPIPA5"
1,"NTAN1"
0,"NUBP1"
0,"PDXDC1"
0,"PMM2"
0,"PRM1"
0,"PRM2"
0,"PRM3"
0,"RMI2"
0,"RRN3"
25,"SOCS1"
0,"TEKT5"
1,"TMEM186"
0,"TNP2"
0,"TVP23A"
18,"USP7"
0,"XYLT1"
0,"A4GNT"
0,"ARMC8"
1,"CLDN18"
0,"DBR1"
0,"DZIP1L"
5,"IL20RB"
1,"MSL2"
26,"NCK1"
0,"NME9"
0,"PCCB"
3,"PPP2R3A"
0,"SLC35G2"
1,"SOX14"
2,"STAG1"
0,"ALKBH4"
2,"ASNS"
1,"CBLL1"
0,"CDHR3"
0,"CLDN15"
4,"CUX1"
2,"DLD"
0,"FAM185A"
2,"FIS1"
2,"LAMB1"
0,"LAMB4"
0,"LRWD1"
0,"MOGAT3"
0,"MYL10"
0,"NAPEPLD"
0,"NAT16"
0,"NRCAM"
0,"OCM2"
0,"ORAI2"
0,"PDK4"
1,"PLOD3"
3,"POLR2J"
0,"POLR2J2"
0,"POLR2J3"
0,"PRKRIP1"
4,"RASA4"
0,"RASA4B"
8,"SH2B2"
0,"SLC26A3"
0,"SPDYE2"
0,"SPDYE2B"
0,"VGF"
1,"ZNHIT1"
2,"DDX1"
19,"MYCN"
0,"TRAPPC12"
2,"ARAP1"
0,"ATG16L2"
0,"C11orf86"
1,"FCHSD2"
2,"PC"
0,"STARD10"
0,"DSCAM"
5,"KCNJ6"
0,"ELOVL4"
0,"SH3BGRL2"
0,"A2ML1"
0,"ACRBP"
8,"AEBP2"
0,"ANO2"
1,"APOBEC1"
0,"APOLD1"
6,"ARHGDIB"
0,"ART4"
3,"ATN1"
1,"BCL2L14"
1,"BHLHE41"
0,"C12orf57"
0,"C12orf60"
0,"C1R"
0,"C1RL"
0,"C1S"
0,"CAPZA3"
4,"CD163"
0,"CD163L1"
11,"CD27"
43,"CD4"
5,"CD9"
5,"CDCA3"
32,"CDKN1B"
19,"CHD4"
0,"CLEC4C"
0,"CLSTN3"
3,"COPS7A"
0,"CREBL2"
0,"DDX47"
3,"DPPA3"
2,"DUSP16"
1,"EMG1"
1,"EMP1"
1,"ENO2"
0,"ERGIC2"
1,"ERP27"
0,"ETNK1"
0,"FAR2"
6,"FKBP4"
13,"FOXM1"
40,"GAPDH"
1,"GDF3"
12,"GNB3"
0,"GPR162"
0,"GPR19"
0,"GPRC5A"
0,"GPRC5D"
0,"GSG1"
0,"GUCY2C"
0,"HEBP1"
0,"IFFO1"
6,"ING4"
1,"ITFG2"
7,"LAG3"
1,"LMO3"
3,"LPAR5"
0,"LPCAT3"
3,"LRP6"
0,"LRRC23"
3,"LTBR"
0,"MANSC1"
1,"MGP"
0,"MGST1"
0,"MLF2"
0,"MRPL51"
29,"NANOG"
0,"NANOGNB"
2,"NCAPD2"
2,"NOP2"
0,"NRIP2"
0,"OVCH1"
0,"PDE6H"
1,"PEX5"
3,"PHB2"
0,"PIANP"
4,"PIK3C2G"
2,"PLCZ1"
0,"PLEKHA5"
1,"PLEKHG6"
0,"PTMS"
30,"PTPN6"
0,"RASSF8"
0,"RBP5"
0,"RERG"
0,"RHNO1"
2,"SCNN1A"
0,"SLC2A14"
0,"SMCO3"
0,"SPSB2"
0,"SSPN"
0,"TAPBPL"
0,"TAS2R10"
0,"TAS2R7"
0,"TAS2R8"
0,"TAS2R9"
6,"TEAD4"
0,"TMTC1"
17,"TNFRSF1A"
4,"TPI1"
0,"TSPAN9"
0,"TULP3"
0,"USP5"
0,"VAMP1"
4,"VWF"
3,"WBP11"
1,"ZNF384"
0,"AASDH"
2,"ABCE1"
1,"ANAPC10"
0,"ARL9"
0,"C4orf51"
1,"CEP135"
0,"ERVMER34-1"
2,"EXOC1"
25,"GAB1"
1,"HOPX"
4,"IGFBP7"
1,"INPP4B"
0,"KLHL5"
2,"LSM6"
1,"MMAA"
0,"NOA1"
0,"OTUD4"
1,"PAICS"
9,"POLR2B"
1,"POU4F2"
1,"PPAT"
0,"RASL11B"
6,"REST"
0,"SCFD2"
0,"SLC10A7"
8,"SMAD1"
0,"SPINK2"
0,"SRP72"
0,"TTC29"
0,"USP38"
0,"USP46"
0,"ZNF827"
0,"SYTL2"
3,"AP2B1"
0,"C17orf50"
0,"CCL14"
3,"CCL15"
2,"CCL16"
2,"CCL18"
0,"CCL23"
9,"CCL3"
7,"CCL4"
11,"CCL5"
3,"DHRS11"
1,"FOXN1"
0,"GAS2L2"
0,"GGNBP2"
0,"IFT20"
0,"LHX1"
0,"LYRM9"
0,"LYZL6"
1,"MMP28"
0,"MRM1"
0,"MYO19"
7,"NLK"
6,"NOS2"
0,"PIGW"
0,"POLDIP2"
0,"RASL10B"
0,"RDM1"
1,"SARM1"
0,"SLC13A2"
0,"SLC46A1"
4,"TAF15"
0,"TBC1D3B"
0,"TBC1D3C"
0,"TBC1D3G"
0,"TBC1D3H"
0,"TMEM199"
0,"TMEM97"
0,"TNFAIP1"
1,"UNC119"
6,"VTN"
0,"ZNHIT3"
2,"APOBEC3A"
7,"CBX6"
3,"CBY1"
12,"CSF2RB"
11,"DDX17"
1,"DMC1"
0,"DNAL4"
1,"EFCAB6"
0,"GTPBP1"
1,"KDELR3"
0,"LGALS2"
0,"MPPED1"
0,"NPTXR"
0,"RABL2B"
0,"SUN2"
2,"TNRC6B"
1,"BASP1"
0,"MYO10"
0,"ZNF622"
0,"COMMD9"
0,"FJX1"
0,"LDLRAD3"
3,"PRR5L"
2,"RAG1"
3,"RAG2"
1,"SC5D"
0,"SORL1"
0,"TECTA"
33,"TRAF6"
0,"TRIM44"
2,"HDAC10"
26,"MAPK11"
26,"MAPK12"
0,"TRABD"
0,"TUBGCP6"
0,"AHSG"
0,"C3orf70"
1,"DGKG"
0,"ECE2"
0,"EHHADH"
1,"EIF2B5"
1,"ETV5"
0,"FETUB"
0,"HRG"
6,"IGF2BP2"
0,"LIPH"
0,"MAP3K13"
0,"SENP2"
0,"TMEM41A"
6,"TRA2B"
0,"VPS8"
0,"DIRC1"
0,"FAM171B"
8,"ITGAV"
0,"ZSWIM2"
0,"BDH1"
0,"FYTTD1"
0,"IQCG"
0,"KLHL6"
0,"LMLN"
0,"LRCH3"
4,"TP63"
2,"VRK1"
0,"PTGES3L"
0,"PTGES3L-AARSD1"
0,"RUNDC1"
0,"ZFP28"
0,"ZNF470"
0,"ZNF71"
0,"ARMC12"
0,"CLPS"
0,"CLPSL1"
0,"CLPSL2"
1,"FANCE"
10,"FKBP5"
0,"LHFPL5"
5,"PPARD"
4,"RPL10A"
0,"SCUBE3"
0,"SLC26A8"
3,"SRPK1"
4,"TEAD3"
2,"TULP1"
0,"C14orf28"
0,"FSCB"
0,"KLHL28"
0,"LRFN5"
1,"MAGI2"
0,"C9orf24"
4,"CCL19"
5,"CCL21"
3,"DCAF12"
0,"FAM205A"
0,"FAM219A"
0,"NUDT2"
0,"PRSS3"
0,"UBAP1"
0,"UBAP2"
0,"UBE2R2"
0,"ZNF222"
0,"ZNF223"
0,"ZNF224"
0,"ZNF230"
0,"ZNF284"
0,"EMILIN2"
1,"LPIN2"
0,"METTL4"
0,"MYL12A"
3,"MYL12B"
0,"MYOM1"
6,"NDC80"
0,"RAB3C"
0,"ACY3"
4,"AIP"
0,"ALDH3B2"
0,"CABP2"
1,"CABP4"
0,"CARNS1"
0,"CDK2AP2"
0,"CORO1B"
0,"GPR152"
3,"GSTP1"
1,"NDUFV1"
0,"NUDT8"
1,"PITPNM1"
8,"PPP1CA"
1,"PTPRCAP"
4,"RAD9A"
17,"RPS6KB2"
1,"TBC1D10C"
0,"TBX10"
0,"TMEM134"
0,"C16orf95"
1,"FBXO31"
5,"MAP1LC3B"
0,"ESYT2"
6,"GLI3"
0,"HECW1"
3,"SKAP2"
0,"AGRN"
0,"ATPAF1"
0,"C1orf159"
0,"CYP4B1"
0,"DMBX1"
0,"EFCAB14"
0,"FAAH"
0,"HES4"
4,"ISG15"
0,"KLHL17"
0,"LRRC41"
0,"LURAP1"
0,"MAST2"
5,"MKNK1"
0,"MOB3C"
2,"NOC2L"
0,"NSUN4"
0,"OR4F16"
0,"OR4F29"
0,"OR4F5"
65,"PIK3R3"
0,"PLEKHN1"
0,"POMGNT1"
1,"RAD54L"
0,"RNF223"
0,"SDF4"
0,"TEX38"
6,"TNFRSF18"
9,"TNFRSF4"
0,"TSPAN1"
0,"TTLL10"
0,"UQCRH"
0,"ARSK"
0,"FAM81B"
0,"GLRX"
0,"GPR150"
0,"MCTP1"
0,"RFESD"
0,"RHOBTB3"
0,"SPATA9"
0,"TTC37"
0,"AP3M2"
2,"DKK4"
0,"HMBOX1"
35,"IKBKB"
0,"INTS9"
0,"MTMR9"
0,"PLAT"
0,"SLC35G5"
0,"TRIM35"
1,"VDAC3"
0,"XKR6"
0,"ZNF527"
0,"ZNF569"
10,"BCL11A"
0,"C2orf74"
3,"CCT4"
3,"COMMD1"
0,"EHBP1"
0,"FAM161A"
0,"FANCL"
0,"OTX1"
1,"PAPOLG"
0,"PEX13"
0,"PUS10"
14,"REL"
0,"TMEM17"
0,"USP34"
0,"VRK2"
0,"WDPCP"
10,"XPO1"
1,"SNX18"
0,"CLDN4"
1,"CLIP2"
2,"EIF4H"
1,"ELN"
5,"LAT2"
7,"LIMK1"
2,"RFC2"
4,"BAZ1B"
3,"BCL7B"
0,"DNAJC30"
2,"FKBP6"
3,"FZD9"
0,"MLXIPL"
0,"TBL2"
0,"VPS37D"
0,"CERS1"
0,"COMP"
0,"CRLF1"
2,"CRTC1"
0,"GDF1"
0,"KLHL26"
0,"KXD1"
0,"TMEM59L"
20,"UBA52"
5,"UPF1"
2,"EFNB1"
0,"PJA1"
0,"ZC4H2"
1,"CAPN1"
1,"CDC42EP2"
3,"DPF2"
0,"FRMD8"
1,"POLA2"
0,"SPDYC"
0,"TIGD3"
0,"CDX4"
0,"CHIC1"
0,"DMRTC1"
0,"DMRTC1B"
0,"NAP1L2"
2,"PABPC1L2A"
0,"PABPC1L2B"
0,"PHKA1"
0,"GLRA2"
0,"NHS"
21,"RBBP7"
0,"REPS2"
0,"SCML1"
0,"TXLNG"
2,"ARHGAP22"
0,"C10orf53"
0,"C10orf71"
0,"CHAT"
0,"DRGX"
7,"ERCC6"
0,"FAM170B"
0,"FAM25C"
1,"FRMPD2"
0,"LRRC18"
42,"MAPK8"
2,"OGDHL"
0,"PARG"
0,"SLC18A3"
0,"VSTM4"
0,"WDFY4"
3,"AMER1"
0,"ASB12"
0,"MTMR8"
0,"PBLD"
2,"FANCM"
5,"FKBP3"
2,"MIS18BP1"
1,"PRPF39"
0,"ABHD12"
0,"ACSS1"
0,"APMAP"
2,"BANF2"
0,"BFSP1"
1,"CD93"
2,"CRNKL1"
0,"CST1"
0,"CST11"
0,"CST2"
0,"CST3"
0,"CST4"
0,"CST5"
0,"CST7"
0,"CST8"
0,"CST9"
0,"CST9L"
0,"CSTL1"
0,"DSTN"
0,"DTD1"
0,"DZANK1"
1,"ENTPD6"
0,"GGTLC1"
0,"GINS1"
0,"GZF1"
1,"INSM1"
1,"MGME1"
0,"NAA20"
0,"NANP"
0,"NAPB"
0,"NINL"
4,"NXT1"
0,"OVOL2"
1,"PCSK2"
0,"PET117"
0,"POLR3F"
1,"PYGB"
0,"RBBP9"
0,"RIN2"
2,"RRBP1"
0,"SEC23B"
0,"SLC24A3"
0,"SNX5"
1,"SSTR4"
0,"SYNDIG1"
0,"THBD"
0,"VSX1"
0,"ZNF133"
0,"ZNF337"
6,"FOXP1"
4,"ROBO1"
0,"KCTD8"
0,"FAAH2"
0,"ZXDA"
0,"ZXDB"
0,"ADAMTS9"
0,"ARL6IP5"
2,"ATXN7"
0,"C3orf14"
0,"C3orf49"
0,"CADPS"
0,"CNTN3"
0,"EBLN2"
2,"EIF4E3"
0,"EOGT"
0,"FEZF2"
0,"FRMD4B"
1,"GBE1"
0,"GPR27"
0,"KBTBD8"
0,"LMOD3"
6,"LRIG1"
3,"MAGI1"
11,"MITF"
0,"PDZRN3"
0,"PPP4R2"
0,"PRICKLE2"
1,"PROK2"
1,"PSMD6"
3,"ROBO2"
0,"SHQ1"
0,"SLC25A26"
0,"SNTN"
7,"SUCLG2"
0,"SYNPR"
0,"THOC7"
0,"TMF1"
3,"UBA3"
0,"ZNF717"
0,"INSL6"
67,"JAK2"
0,"ACTR1B"
0,"ANKRD23"
0,"ANKRD39"
0,"CNGA3"
0,"CNNM3"
0,"CNNM4"
1,"COX5B"
0,"FAHD2B"
0,"FAM178B"
1,"INPP4A"
0,"SEMA4C"
0,"VWA3B"
22,"ZAP70"
4,"ADCY7"
3,"BRD7"
0,"CNEP1R1"
9,"CYLD"
0,"HEATR3"
1,"NKD1"
5,"NOD2"
6,"SALL1"
0,"SNX20"
2,"TOX3"
1,"ZNF423"
0,"ABCF2"
0,"AGK"
2,"AKR1D1"
0,"ASB15"
0,"ATP6V0A4"
2,"CALD1"
0,"CEP41"
0,"CHPF2"
2,"CHRM2"
1,"COPG2"
0,"CPA1"
0,"CPA2"
0,"CPA4"
0,"CPA5"
0,"CPED1"
8,"CREB3L2"
0,"DGKI"
1,"EXOC4"
0,"FAM180A"
0,"FEZF1"
0,"IQUB"
3,"KIAA1549"
0,"KLF14"
1,"MEST"
0,"MKLN1"
0,"MTPN"
3,"NUP205"
0,"PARP12"
7,"PRKAG2"
1,"PTN"
8,"RHEB"
0,"SLC13A4"
6,"SMARCD3"
0,"SSMEM1"
0,"SVOPL"
0,"TBXAS1"
0,"TMEM209"
0,"TMEM213"
9,"TRIM24"
0,"TSGA13"
0,"ZC3HAV1L"
0,"ZNF800"
0,"ANKRD34A"
0,"ANKRD35"
3,"CD160"
0,"FAM72C"
0,"FAM72D"
14,"FCGR1A"
0,"GPR89A"
1,"ITGA10"
0,"LIX1L"
0,"PDZK1"
0,"PEX11B"
6,"PIAS3"
0,"POLR3C"
0,"POLR3GL"
0,"PPIAL4C"
0,"PPIAL4G"
6,"RBM8A"
0,"RNF115"
6,"TXNIP"
3,"ACTR2"
0,"AFTPH"
0,"CEP68"
0,"LGALSL"
2,"PELI1"
0,"RAB1A"
0,"SERTAD2"
0,"SLC1A4"
1,"SPRED2"
0,"UGP2"
0,"VPS54"
0,"ABTB2"
1,"ARL14EP"
2,"FSHB"
0,"HTATIP2"
0,"KCNA4"
2,"NAT10"
2,"ACO1"
0,"APTX"
0,"AQP3"
0,"AQP7"
0,"ARID3C"
0,"B4GALT1"
6,"BAG1"
0,"C9orf131"
4,"CCL27"
0,"CHMP5"
4,"CNTFR"
1,"DCTN3"
6,"DDX58"
0,"DNAI1"
2,"DNAJA1"
0,"DNAJB5"
0,"ENHO"
0,"FAM214B"
0,"FANCG"
0,"GALT"
5,"IL11RA"
0,"NDUFB6"
1,"NFX1"
2,"NOL6"
0,"PIGO"
0,"RPP25L"
1,"SIGMAR1"
3,"SMU1"
0,"SPINK4"
0,"STOML2"
13,"TEK"
2,"TOPORS"
8,"VCP"
0,"ACER2"
0,"PTPRD"
15,"RPS6"
0,"SLC24A2"
0,"DNAJB12"
0,"ARL8B"
1,"BHLHE40"
5,"CAV3"
0,"CHCHD4"
0,"COLQ"
4,"EAF1"
2,"EDEM1"
1,"FBLN2"
0,"GRM7"
2,"HACL1"
2,"HDAC11"
10,"ITPR1"
0,"LHFPL4"
1,"LMCD1"
3,"LSM3"
0,"METTL6"
2,"MTMR14"
3,"NUP210"
5,"OXTR"
32,"PPARG"
3,"RAD18"
0,"SETD5"
1,"SH3BP5"
2,"SRGAP3"
0,"SSUH2"
0,"SUMF1"
0,"THUMPD3"
1,"TIMP4"
0,"TMEM43"
0,"TSEN2"
4,"WNT7A"
2,"XPC"
8,"HDAC9"
17,"TWIST1"
0,"ZNF736"
0,"ARSF"
0,"ARSH"
0,"DHRSX"
0,"FRMD7"
7,"HCFC1"
1,"HS6ST2"
0,"IGSF1"
0,"LRCH2"
1,"LUZP4"
1,"MBNL3"
18,"MECP2"
